,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Urban,Property_Rural,Property_Semiurban,Loan_Status
302,1,1,0,0,1,5000,0.0,132.0,360.0,1.0,1.0,0.0,0.0,Y
74,0,0,3,0,0,5266,1774.0,187.0,360.0,1.0,0.0,1.0,0.0,Y
596,0,0,2,1,0,6383,1000.0,187.0,360.0,1.0,1.0,0.0,0.0,N
488,0,0,2,0,0,4583,2083.0,160.0,360.0,1.0,0.0,1.0,0.0,Y
327,0,0,0,0,0,5818,2160.0,184.0,360.0,1.0,0.0,1.0,0.0,Y
148,1,1,0,0,1,10000,1666.0,225.0,360.0,1.0,1.0,0.0,0.0,N
233,1,1,0,0,1,8333,0.0,280.0,360.0,1.0,0.0,1.0,0.0,Y
141,0,1,0,0,1,5417,0.0,168.0,360.0,1.0,0.0,0.0,1.0,Y
296,0,0,1,0,1,6875,0.0,200.0,360.0,1.0,0.0,1.0,0.0,Y
274,0,0,2,0,1,3900,0.0,90.0,360.0,1.0,0.0,1.0,0.0,Y
225,0,0,0,0,1,3250,0.0,170.0,360.0,1.0,1.0,0.0,0.0,N
456,0,0,0,0,1,4301,0.0,118.0,360.0,1.0,0.0,0.0,1.0,Y
458,0,1,2,0,1,4354,0.0,136.0,360.0,1.0,1.0,0.0,0.0,Y
44,0,0,0,1,0,4695,0.0,96.0,360.0,1.0,0.0,0.0,1.0,Y
144,0,0,2,0,1,11757,0.0,187.0,180.0,1.0,0.0,0.0,1.0,Y
409,0,0,3,0,1,81000,0.0,360.0,360.0,0.0,1.0,0.0,0.0,N
272,0,1,0,0,1,2833,1857.0,126.0,360.0,1.0,1.0,0.0,0.0,Y
247,0,0,1,1,1,6608,0.0,137.0,180.0,1.0,0.0,0.0,1.0,Y
254,0,1,0,0,0,16250,0.0,192.0,360.0,0.0,0.0,0.0,1.0,N
580,0,0,2,0,1,6540,0.0,205.0,360.0,1.0,0.0,1.0,0.0,Y
251,1,1,2,0,1,3427,0.0,138.0,360.0,1.0,0.0,0.0,1.0,N
595,0,1,0,1,1,3833,0.0,110.0,360.0,1.0,1.0,0.0,0.0,Y
147,0,0,1,0,1,1538,1425.0,30.0,360.0,1.0,0.0,0.0,1.0,Y
175,0,0,0,0,1,3497,1964.0,116.0,360.0,1.0,1.0,0.0,0.0,Y
34,0,1,3,0,1,12500,3000.0,320.0,360.0,1.0,1.0,0.0,0.0,N
188,0,0,0,0,0,674,5296.0,168.0,360.0,1.0,1.0,0.0,0.0,Y
512,0,0,2,0,1,3283,2035.0,148.0,360.0,1.0,0.0,0.0,1.0,Y
41,0,1,0,0,1,1800,1213.0,47.0,360.0,1.0,0.0,0.0,1.0,Y
221,0,0,2,0,1,4009,1717.0,116.0,360.0,1.0,0.0,1.0,0.0,Y
278,0,0,0,0,1,14583,0.0,436.0,360.0,1.0,0.0,1.0,0.0,Y
266,0,0,2,0,1,4708,1387.0,150.0,360.0,1.0,0.0,1.0,0.0,Y
271,0,0,0,0,1,11146,0.0,136.0,360.0,1.0,0.0,0.0,1.0,Y
189,0,0,0,0,1,9328,0.0,188.0,180.0,1.0,1.0,0.0,0.0,Y
589,0,0,2,0,0,2726,0.0,106.0,360.0,0.0,0.0,1.0,0.0,N
91,0,0,2,0,1,6250,5654.0,188.0,180.0,1.0,0.0,1.0,0.0,Y
244,0,0,0,1,1,3406,4417.0,123.0,360.0,1.0,0.0,1.0,0.0,Y
608,0,0,0,0,1,3232,1950.0,108.0,360.0,1.0,1.0,0.0,0.0,Y
47,0,0,0,0,1,5821,0.0,144.0,360.0,1.0,0.0,0.0,1.0,Y
84,0,0,1,0,1,3988,0.0,50.0,240.0,1.0,0.0,0.0,1.0,Y
137,0,0,2,0,0,3316,3500.0,88.0,360.0,1.0,0.0,0.0,1.0,Y
462,0,0,0,0,1,3015,2188.0,153.0,360.0,1.0,1.0,0.0,0.0,Y
564,0,0,2,0,1,8799,0.0,258.0,360.0,0.0,0.0,0.0,1.0,N
12,0,0,2,0,1,3073,8106.0,200.0,360.0,1.0,0.0,0.0,1.0,Y
98,0,0,0,1,1,4188,0.0,115.0,180.0,1.0,0.0,1.0,0.0,Y
563,0,1,0,1,0,5800,0.0,132.0,360.0,1.0,0.0,1.0,0.0,Y
179,0,1,0,1,1,2333,1451.0,102.0,480.0,0.0,0.0,0.0,1.0,N
57,0,0,0,0,1,3366,2200.0,135.0,360.0,1.0,1.0,0.0,0.0,N
582,1,0,0,0,1,3166,0.0,36.0,360.0,1.0,0.0,1.0,0.0,Y
45,1,1,0,0,1,3410,0.0,88.0,360.0,1.0,0.0,0.0,1.0,Y
151,0,0,0,0,0,2577,3750.0,152.0,360.0,1.0,1.0,0.0,0.0,Y
481,0,0,3,1,1,3095,0.0,113.0,360.0,1.0,1.0,0.0,0.0,Y
398,0,1,0,1,1,3902,1666.0,109.0,360.0,1.0,1.0,0.0,0.0,Y
2,0,0,0,0,0,3000,0.0,66.0,360.0,1.0,0.0,0.0,1.0,Y
145,1,0,0,0,1,2330,4486.0,100.0,360.0,1.0,0.0,1.0,0.0,Y
128,0,0,1,0,0,10513,3850.0,160.0,180.0,0.0,0.0,0.0,1.0,N
109,0,0,3,1,1,2071,754.0,94.0,480.0,1.0,0.0,1.0,0.0,Y
101,0,1,0,0,1,4843,3806.0,151.0,360.0,1.0,0.0,1.0,0.0,Y
246,0,0,2,0,1,9703,0.0,112.0,360.0,1.0,0.0,0.0,1.0,Y
486,0,1,2,0,1,3547,0.0,80.0,360.0,0.0,1.0,0.0,0.0,N
313,0,0,2,0,0,5746,0.0,144.0,84.0,1.0,1.0,0.0,0.0,Y
228,0,0,0,0,1,4758,0.0,158.0,480.0,1.0,0.0,1.0,0.0,Y
597,0,1,0,0,1,2987,0.0,88.0,360.0,0.0,0.0,1.0,0.0,N
121,1,1,0,0,1,4166,0.0,44.0,360.0,1.0,0.0,1.0,0.0,Y
94,0,1,0,1,1,3620,0.0,25.0,120.0,1.0,0.0,1.0,0.0,Y
565,0,0,0,1,1,4467,0.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
309,0,0,2,1,1,7667,0.0,185.0,360.0,1.0,1.0,0.0,0.0,Y
390,0,1,3,0,1,9167,0.0,185.0,360.0,1.0,1.0,0.0,0.0,Y
293,1,1,0,0,1,5417,0.0,143.0,480.0,0.0,0.0,0.0,1.0,N
339,1,1,0,0,1,4160,0.0,71.0,360.0,1.0,0.0,1.0,0.0,Y
23,0,0,2,1,1,3365,1917.0,112.0,360.0,0.0,1.0,0.0,0.0,N
33,0,0,0,0,1,3500,1667.0,114.0,360.0,1.0,0.0,1.0,0.0,Y
219,1,0,2,0,1,4283,2383.0,127.0,360.0,1.0,0.0,1.0,0.0,Y
220,0,0,0,0,1,2221,0.0,60.0,360.0,0.0,0.0,0.0,1.0,N
103,0,0,0,0,1,4652,3583.0,127.0,360.0,1.0,0.0,1.0,0.0,Y
26,0,0,0,0,1,2799,2253.0,122.0,360.0,1.0,0.0,1.0,0.0,Y
465,0,1,0,0,1,6000,0.0,140.0,360.0,1.0,1.0,0.0,0.0,Y
380,0,0,0,0,1,3333,2500.0,128.0,360.0,1.0,0.0,1.0,0.0,Y
605,0,0,0,1,1,2400,3800.0,127.0,180.0,1.0,0.0,0.0,1.0,N
183,0,0,1,0,1,33846,0.0,260.0,360.0,1.0,0.0,1.0,0.0,N
69,1,1,0,0,1,4300,0.0,136.0,360.0,0.0,0.0,1.0,0.0,N
457,0,0,0,0,1,3708,2569.0,173.0,360.0,1.0,0.0,0.0,1.0,N
205,1,1,0,1,1,4408,0.0,120.0,360.0,1.0,0.0,1.0,0.0,Y
64,1,1,0,0,1,4166,0.0,116.0,360.0,0.0,0.0,1.0,0.0,N
345,0,0,0,0,1,2499,2458.0,160.0,360.0,1.0,0.0,1.0,0.0,Y
522,0,0,3,0,0,5677,1424.0,100.0,360.0,1.0,1.0,0.0,0.0,Y
39,0,1,0,1,1,3748,1668.0,110.0,360.0,1.0,0.0,1.0,0.0,Y
381,0,1,0,0,1,5941,4232.0,296.0,360.0,1.0,0.0,1.0,0.0,Y
236,0,0,0,0,1,5746,0.0,255.0,360.0,1.0,0.0,0.0,1.0,N
177,0,0,3,0,1,5516,11300.0,495.0,360.0,0.0,0.0,1.0,0.0,N
590,0,0,0,0,1,3000,3416.0,56.0,180.0,1.0,0.0,1.0,0.0,Y
495,1,0,1,0,1,3326,913.0,105.0,84.0,1.0,0.0,1.0,0.0,Y
445,0,0,1,0,0,3466,1210.0,130.0,360.0,1.0,1.0,0.0,0.0,Y
262,1,1,1,0,1,3481,0.0,155.0,36.0,1.0,0.0,1.0,0.0,N
256,0,1,0,1,1,6045,0.0,115.0,360.0,0.0,1.0,0.0,0.0,N
92,0,0,2,1,1,3273,1820.0,81.0,360.0,1.0,0.0,0.0,1.0,Y
524,0,1,0,0,1,4680,2087.0,127.0,360.0,1.0,0.0,1.0,0.0,N
237,1,1,0,0,0,3463,0.0,122.0,360.0,1.0,0.0,0.0,1.0,Y
284,0,0,0,0,1,20667,0.0,127.0,360.0,1.0,1.0,0.0,0.0,N
604,1,0,1,0,1,12000,0.0,496.0,360.0,1.0,0.0,1.0,0.0,Y
270,1,1,0,0,1,3237,0.0,30.0,360.0,1.0,0.0,0.0,1.0,Y
572,0,0,2,0,1,16666,0.0,275.0,360.0,1.0,0.0,0.0,1.0,Y
448,0,0,2,0,1,3340,1710.0,150.0,360.0,0.0,1.0,0.0,0.0,N
402,0,1,0,0,1,2500,20000.0,103.0,360.0,1.0,0.0,1.0,0.0,Y
529,0,1,0,1,1,6783,0.0,130.0,360.0,1.0,0.0,1.0,0.0,Y
526,0,0,0,0,1,3775,0.0,110.0,360.0,1.0,0.0,1.0,0.0,Y
169,0,0,2,0,1,8000,0.0,200.0,360.0,1.0,0.0,1.0,0.0,Y
62,0,0,0,1,0,2609,3449.0,165.0,180.0,0.0,1.0,0.0,0.0,N
504,0,0,0,1,1,3814,1483.0,124.0,300.0,1.0,0.0,1.0,0.0,Y
317,0,0,0,0,1,2058,2134.0,88.0,360.0,1.0,0.0,0.0,1.0,Y
18,0,0,0,1,1,4887,0.0,133.0,360.0,1.0,1.0,0.0,0.0,N
52,1,1,0,0,1,4230,0.0,112.0,360.0,1.0,0.0,1.0,0.0,N
540,1,0,1,0,1,4608,2845.0,140.0,180.0,1.0,0.0,1.0,0.0,Y
159,0,0,0,0,1,4583,5625.0,255.0,360.0,1.0,0.0,1.0,0.0,Y
359,0,0,3,0,1,5167,3167.0,200.0,360.0,1.0,0.0,1.0,0.0,Y
441,0,0,0,0,1,7901,1833.0,180.0,360.0,1.0,1.0,0.0,0.0,Y
143,0,0,0,0,1,2698,2034.0,122.0,360.0,1.0,0.0,1.0,0.0,Y
537,0,1,2,0,1,3617,0.0,107.0,360.0,1.0,0.0,1.0,0.0,Y
289,0,1,0,0,1,9508,0.0,187.0,360.0,1.0,1.0,0.0,0.0,Y
165,0,0,0,0,1,3707,3166.0,182.0,360.0,1.0,1.0,0.0,0.0,Y
357,0,0,1,0,1,3875,0.0,67.0,360.0,1.0,0.0,0.0,1.0,N
371,0,0,2,0,1,5185,0.0,155.0,360.0,1.0,0.0,1.0,0.0,Y
553,0,0,0,1,1,2454,2333.0,181.0,360.0,0.0,0.0,0.0,1.0,N
544,1,0,0,1,1,3017,663.0,102.0,360.0,1.0,0.0,1.0,0.0,Y
330,0,1,1,0,1,4384,1793.0,117.0,360.0,1.0,0.0,0.0,1.0,Y
286,1,1,0,0,0,2600,1717.0,99.0,300.0,1.0,0.0,1.0,0.0,N
335,0,0,0,0,0,5503,4490.0,70.0,360.0,1.0,0.0,1.0,0.0,Y
401,0,1,0,1,1,2755,0.0,65.0,300.0,1.0,1.0,0.0,0.0,N
315,0,0,1,1,1,3399,1640.0,111.0,180.0,1.0,0.0,0.0,1.0,Y
602,0,0,3,0,1,5703,0.0,128.0,360.0,1.0,0.0,0.0,1.0,Y
265,0,1,0,0,1,4095,3447.0,151.0,360.0,1.0,1.0,0.0,0.0,Y
446,0,0,2,1,1,4652,0.0,110.0,360.0,1.0,1.0,0.0,0.0,Y
492,0,1,0,1,1,3691,0.0,110.0,360.0,1.0,1.0,0.0,0.0,Y
344,0,0,2,0,1,2583,2330.0,125.0,360.0,1.0,1.0,0.0,0.0,Y
176,0,0,2,0,1,2045,1619.0,101.0,360.0,1.0,1.0,0.0,0.0,Y
365,0,1,0,1,1,6216,0.0,133.0,360.0,1.0,1.0,0.0,0.0,N
593,0,0,0,0,1,3859,3300.0,142.0,180.0,1.0,1.0,0.0,0.0,Y
96,1,0,0,0,1,2484,2302.0,137.0,360.0,1.0,0.0,1.0,0.0,Y
530,0,0,0,0,1,1025,5500.0,216.0,360.0,1.0,1.0,0.0,0.0,Y
356,0,0,2,0,1,8333,3167.0,165.0,360.0,1.0,1.0,0.0,0.0,Y
500,1,1,0,0,1,645,3683.0,113.0,480.0,1.0,1.0,0.0,0.0,Y
49,1,1,0,0,1,4000,2275.0,144.0,360.0,1.0,0.0,1.0,0.0,Y
579,0,1,0,0,1,3182,2917.0,161.0,360.0,1.0,0.0,0.0,1.0,Y
370,1,1,0,0,0,15759,0.0,55.0,360.0,1.0,0.0,1.0,0.0,Y
295,0,0,3,0,1,4416,1250.0,110.0,360.0,1.0,0.0,0.0,1.0,Y
498,0,0,1,0,0,2895,0.0,95.0,360.0,1.0,0.0,1.0,0.0,Y
229,0,1,0,0,0,6400,0.0,200.0,360.0,1.0,1.0,0.0,0.0,Y
567,0,0,3,0,1,3400,2500.0,123.0,360.0,0.0,1.0,0.0,0.0,N
350,0,0,0,0,1,9083,0.0,228.0,360.0,1.0,0.0,1.0,0.0,Y
238,1,1,1,0,1,3812,0.0,112.0,360.0,1.0,1.0,0.0,0.0,Y
224,0,0,0,0,1,6250,0.0,128.0,360.0,1.0,0.0,1.0,0.0,Y
349,0,0,0,0,1,2625,6250.0,187.0,360.0,1.0,1.0,0.0,0.0,Y
468,1,0,2,1,1,210,2917.0,98.0,360.0,1.0,0.0,1.0,0.0,Y
343,0,0,3,1,1,3173,0.0,74.0,360.0,1.0,0.0,1.0,0.0,Y
440,0,1,0,0,1,3660,5064.0,187.0,360.0,1.0,0.0,1.0,0.0,Y
476,0,0,2,0,1,6700,1750.0,230.0,300.0,1.0,0.0,1.0,0.0,Y
501,1,1,0,0,1,3159,0.0,100.0,360.0,1.0,0.0,1.0,0.0,Y
211,0,0,3,0,1,3430,1250.0,128.0,360.0,0.0,0.0,1.0,0.0,N
463,1,1,1,1,1,5191,0.0,132.0,360.0,1.0,0.0,1.0,0.0,Y
73,0,0,3,1,1,4755,0.0,95.0,360.0,0.0,0.0,1.0,0.0,N
140,0,0,2,0,1,5042,2083.0,185.0,360.0,1.0,1.0,0.0,0.0,N
42,0,0,0,0,1,2400,0.0,75.0,360.0,1.0,0.0,0.0,1.0,Y
531,0,0,3,0,1,4281,0.0,100.0,360.0,1.0,0.0,0.0,1.0,Y
455,0,0,2,0,1,3859,0.0,96.0,360.0,1.0,0.0,1.0,0.0,Y
574,0,0,3,0,1,6406,0.0,150.0,360.0,1.0,0.0,1.0,0.0,N
470,0,0,1,0,0,3450,2079.0,162.0,360.0,1.0,0.0,1.0,0.0,Y
268,1,1,0,0,1,3418,0.0,135.0,360.0,1.0,1.0,0.0,0.0,N
167,0,0,0,0,1,2439,3333.0,129.0,360.0,1.0,1.0,0.0,0.0,Y
136,1,0,0,0,1,4583,0.0,84.0,360.0,1.0,1.0,0.0,0.0,N
408,0,0,1,0,1,8300,0.0,152.0,300.0,0.0,0.0,1.0,0.0,N
202,0,0,3,1,1,3992,0.0,127.0,180.0,1.0,0.0,0.0,1.0,N
413,0,0,0,1,1,2253,2033.0,110.0,360.0,1.0,1.0,0.0,0.0,Y
494,0,0,0,0,1,3597,2157.0,119.0,360.0,0.0,1.0,0.0,0.0,N
283,1,1,0,0,1,1811,1666.0,54.0,360.0,1.0,0.0,0.0,1.0,Y
157,0,0,1,0,1,9538,0.0,187.0,360.0,1.0,0.0,0.0,1.0,Y
311,0,1,0,1,1,2927,2405.0,111.0,360.0,1.0,0.0,1.0,0.0,Y
218,0,0,2,0,1,5000,0.0,72.0,360.0,0.0,0.0,1.0,0.0,N
473,1,1,0,0,0,2500,0.0,93.0,360.0,1.0,0.0,0.0,1.0,Y
394,0,0,2,0,1,3100,1400.0,113.0,360.0,1.0,0.0,0.0,1.0,Y
321,0,0,3,0,1,4342,189.0,124.0,360.0,1.0,0.0,1.0,0.0,Y
297,1,0,1,0,1,4666,0.0,135.0,360.0,1.0,0.0,0.0,1.0,Y
216,0,0,0,0,1,150,1800.0,135.0,360.0,1.0,1.0,0.0,0.0,N
214,0,0,0,0,1,3173,3021.0,137.0,360.0,1.0,0.0,0.0,1.0,Y
170,0,0,0,1,1,1820,1769.0,95.0,360.0,1.0,1.0,0.0,0.0,Y
389,0,0,0,0,1,5488,0.0,125.0,360.0,1.0,1.0,0.0,0.0,Y
162,0,0,1,0,1,3089,1280.0,121.0,360.0,0.0,0.0,1.0,0.0,N
348,0,0,0,0,1,6333,4583.0,259.0,360.0,1.0,0.0,1.0,0.0,Y
478,0,0,1,0,0,16667,2250.0,86.0,360.0,1.0,0.0,1.0,0.0,Y
90,0,0,0,0,1,2958,2900.0,131.0,360.0,1.0,0.0,1.0,0.0,Y
611,0,0,1,0,1,8072,240.0,253.0,360.0,1.0,0.0,0.0,1.0,Y
122,1,1,0,0,1,2137,8980.0,137.0,360.0,0.0,0.0,1.0,0.0,Y
17,1,1,0,0,1,3510,0.0,76.0,360.0,0.0,0.0,0.0,1.0,N
291,0,0,2,0,1,4400,0.0,127.0,360.0,0.0,0.0,1.0,0.0,N
406,0,0,0,1,1,2167,2400.0,115.0,360.0,1.0,0.0,0.0,1.0,Y
447,0,0,0,0,1,3539,1376.0,55.0,360.0,1.0,1.0,0.0,0.0,N
76,0,1,0,0,1,3750,4750.0,176.0,360.0,1.0,0.0,0.0,1.0,N
4,0,1,0,0,1,6000,0.0,141.0,360.0,1.0,0.0,0.0,1.0,Y
56,0,0,0,0,1,2132,1591.0,96.0,360.0,1.0,0.0,1.0,0.0,Y
240,0,0,2,0,1,5819,5000.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
493,1,1,0,1,0,17263,0.0,225.0,360.0,1.0,0.0,1.0,0.0,Y
341,1,1,0,0,1,2378,0.0,46.0,360.0,1.0,1.0,0.0,0.0,N
67,0,0,1,0,1,10750,0.0,312.0,360.0,1.0,0.0,0.0,1.0,Y
480,1,1,0,1,1,4350,0.0,154.0,360.0,1.0,1.0,0.0,0.0,Y
301,0,0,0,1,1,2875,1750.0,105.0,360.0,1.0,0.0,1.0,0.0,Y
173,0,0,0,0,1,5708,5625.0,187.0,360.0,1.0,0.0,1.0,0.0,Y
386,0,1,0,1,1,2346,1600.0,132.0,360.0,1.0,0.0,1.0,0.0,Y
292,0,0,2,0,1,3153,1560.0,134.0,360.0,1.0,0.0,0.0,1.0,Y
570,0,0,1,0,1,3417,1750.0,186.0,360.0,1.0,0.0,0.0,1.0,Y
383,0,1,0,0,0,7167,0.0,128.0,360.0,1.0,0.0,0.0,1.0,Y
168,0,1,0,0,1,2237,0.0,63.0,480.0,0.0,0.0,1.0,0.0,N
222,0,1,0,0,1,2971,2791.0,144.0,360.0,1.0,0.0,1.0,0.0,Y
248,0,0,1,0,1,2882,1843.0,123.0,480.0,1.0,0.0,1.0,0.0,Y
520,0,0,2,1,1,2192,1742.0,45.0,360.0,1.0,0.0,1.0,0.0,Y
212,0,0,1,0,0,7787,0.0,240.0,360.0,1.0,0.0,0.0,1.0,Y
543,0,0,1,1,1,2239,2524.0,128.0,360.0,1.0,0.0,0.0,1.0,Y
552,0,0,1,0,1,3333,3250.0,158.0,360.0,1.0,0.0,0.0,1.0,Y
185,0,0,0,0,0,39147,4750.0,120.0,360.0,1.0,0.0,1.0,0.0,Y
155,0,0,3,0,1,39999,0.0,600.0,180.0,0.0,0.0,1.0,0.0,Y
521,0,1,0,0,1,2500,0.0,55.0,360.0,1.0,0.0,1.0,0.0,Y
412,0,0,0,1,1,6096,0.0,218.0,360.0,0.0,1.0,0.0,0.0,N
554,0,0,0,0,1,3593,4266.0,132.0,180.0,0.0,1.0,0.0,0.0,N
161,0,0,0,0,1,7933,0.0,275.0,360.0,1.0,0.0,0.0,1.0,N
427,0,0,2,0,1,5935,0.0,133.0,360.0,1.0,0.0,1.0,0.0,Y
324,0,0,3,0,1,15000,0.0,300.0,360.0,1.0,1.0,0.0,0.0,Y
538,0,0,0,1,1,2917,536.0,66.0,360.0,1.0,1.0,0.0,0.0,N
290,0,0,0,0,1,3075,2416.0,139.0,360.0,1.0,1.0,0.0,0.0,Y
209,0,1,0,0,1,3418,0.0,127.0,360.0,1.0,0.0,1.0,0.0,N
599,0,0,2,0,1,5780,0.0,192.0,360.0,1.0,0.0,0.0,1.0,Y
95,0,1,0,0,1,6782,0.0,127.0,360.0,1.0,0.0,0.0,1.0,N
487,0,0,1,0,1,18333,0.0,500.0,360.0,1.0,0.0,0.0,1.0,N
131,0,1,0,0,1,2014,1929.0,74.0,360.0,1.0,0.0,0.0,1.0,Y
255,1,1,3,0,1,3083,0.0,255.0,360.0,1.0,1.0,0.0,0.0,Y
89,0,0,0,0,1,5695,4167.0,175.0,360.0,1.0,0.0,1.0,0.0,Y
557,0,0,3,0,0,10139,0.0,260.0,360.0,1.0,0.0,1.0,0.0,Y
424,0,0,0,0,1,14880,0.0,96.0,360.0,1.0,0.0,1.0,0.0,Y
385,0,1,1,0,1,3667,0.0,113.0,180.0,1.0,0.0,0.0,1.0,Y
556,1,1,0,0,1,2667,1625.0,84.0,360.0,1.0,0.0,0.0,1.0,Y
332,0,1,0,0,1,2833,0.0,71.0,360.0,1.0,0.0,0.0,1.0,Y
374,1,1,0,0,1,2764,1459.0,110.0,360.0,1.0,0.0,0.0,1.0,Y
260,0,0,1,0,1,6083,4250.0,330.0,360.0,1.0,0.0,0.0,1.0,Y
484,0,0,2,0,1,8333,0.0,246.0,360.0,1.0,0.0,1.0,0.0,Y
201,0,1,2,0,1,4923,0.0,166.0,360.0,0.0,0.0,1.0,0.0,Y
472,0,0,3,0,1,4691,0.0,100.0,360.0,1.0,0.0,1.0,0.0,Y
58,0,0,1,0,1,8080,2250.0,180.0,360.0,1.0,0.0,0.0,1.0,Y
63,0,0,1,0,1,4945,0.0,127.0,360.0,0.0,1.0,0.0,0.0,N
204,0,0,2,1,1,3917,0.0,124.0,360.0,1.0,0.0,1.0,0.0,Y
116,1,0,0,0,1,3167,2283.0,154.0,360.0,1.0,0.0,1.0,0.0,Y
560,0,0,2,1,1,3675,242.0,108.0,360.0,1.0,0.0,1.0,0.0,Y
513,0,0,0,0,1,2130,6666.0,70.0,180.0,1.0,0.0,1.0,0.0,N
113,1,1,1,0,0,7451,0.0,127.0,360.0,1.0,0.0,1.0,0.0,Y
149,0,0,0,0,1,4860,830.0,125.0,360.0,1.0,0.0,1.0,0.0,Y
197,1,1,0,1,1,1907,2365.0,120.0,360.0,1.0,0.0,0.0,1.0,Y
93,0,1,0,0,1,4133,0.0,122.0,360.0,1.0,0.0,1.0,0.0,Y
432,0,1,0,0,1,12876,0.0,405.0,360.0,1.0,0.0,1.0,0.0,Y
117,0,0,1,0,1,2214,1398.0,85.0,360.0,1.0,0.0,0.0,1.0,Y
338,1,1,3,1,1,1830,0.0,127.0,360.0,0.0,0.0,0.0,1.0,N
549,0,0,0,0,1,2785,2016.0,110.0,360.0,1.0,1.0,0.0,0.0,Y
502,0,0,2,0,1,4865,5624.0,208.0,360.0,1.0,0.0,1.0,0.0,Y
573,0,0,2,1,1,6125,1625.0,187.0,480.0,1.0,0.0,1.0,0.0,N
199,0,1,0,0,0,11000,0.0,83.0,360.0,1.0,0.0,0.0,1.0,N
7,0,0,3,0,1,3036,2504.0,158.0,360.0,0.0,0.0,1.0,0.0,N
305,0,1,0,1,1,2000,0.0,127.0,360.0,1.0,0.0,0.0,1.0,N
65,0,0,0,0,1,5726,4595.0,258.0,360.0,1.0,0.0,1.0,0.0,N
603,0,1,0,0,1,3676,4301.0,172.0,360.0,1.0,1.0,0.0,0.0,Y
194,0,1,0,0,1,4191,0.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
215,0,0,3,1,1,3850,983.0,100.0,360.0,1.0,0.0,1.0,0.0,Y
124,0,0,0,1,1,4300,2014.0,194.0,360.0,1.0,1.0,0.0,0.0,Y
300,0,0,0,1,1,1800,2934.0,93.0,360.0,0.0,0.0,0.0,1.0,N
108,0,0,2,0,1,3800,3600.0,216.0,360.0,0.0,0.0,0.0,1.0,N
517,0,0,0,1,1,3074,1800.0,123.0,360.0,0.0,0.0,1.0,0.0,N
48,1,0,0,0,1,2645,3440.0,120.0,360.0,0.0,0.0,0.0,1.0,N
439,1,0,0,1,0,7142,0.0,138.0,360.0,1.0,1.0,0.0,0.0,Y
180,0,0,1,0,1,6400,7250.0,180.0,360.0,0.0,0.0,0.0,1.0,N
